Aile, Sword, Launcher, Integrated Weapons System
Shining Gundam, Destiny Gundam, Gundam Aerial, Zeta Gundam
Narrative Gundam, Impulse Gundam, Gundam, Wing Gundam
Quattro Bajeena, Rau Le Creuset, Zechs Merquise, McGillis Fareed
Gundam Mk-III, Zeta Gundam, GM, ZZ Gundam
Strike Gundam, Gundam, Calamity Gundam, Stargazer
Gundam, Gundam Mk-II, Nu Gundam, F91
Gelgoog, Zaku II, Zeong, Z'Gok
GP-01, GP-02, GP-03, GP-04
Crossbone Gundam X1, Zaku III, Astray Red Frame, Strike Gundam
ZZ Gundam, Strike Freedom Gundam, Gundam X, Gundam Flauros
Prototypes, Mass Production, Testing, Design
Mobile Suit Gundam, Mobile Suit Gundam SEED, Mobile Fighter G Gundam, Mobile Suit Gundam 00
Mobile Suit Gundam SEED, Mobile Suit Gundam Wing, Mobile Suit Gundam: The Witch From Mercury, Mobile Suit Gundam GQuuuuuux
19, 4, 17, 9
Wing Gundam Zero, Victory II Gundam, Freedom Gundam, Harute Gundam
Sword Strike Gundam, Sword Sihlouette Gundam, Gundam Exia, Nether Gundam
Kira Yamato, Setsuna F. Seiei, Athrun Zala, Lacus Clyne
Suletta Mercury, Ericht Samaya, MACHU, Kamille Bidan
Kamille Bidan, Amuro Ray, Roux Louka, Judau Ashta
