Kyo Kusanagi, Iori Yagami, Terry Bogard, Ryo Sakazaki
Ryo Sakazaki, Robert Garcia, Yuri Sakazaki, Takuma Sakazaki
Goro Daimon, Joe Higashi, Mai Shiranui, Athena Asamiya
Andy Bogard, Sie Kensou, King of Dinosaurs, K'
B. Jenet, Rock Howard, Joe Higashi, Gato
Shermie, Yashiro, Chris, Ryuji Yamazaki
Rock Howard, Sylvie Paula Paula, Shingo Yabuki, Kyoko
Kula Diamond, Antonov, Mai Shiranui, Angel
K', Maxima, Whip, Kula Diamond
2002, 98, XII, XIII
'99, 2001, 2003, 2001
Ralf Jones, Clark Still, Leona Heidern, Heidern
Shingo Yabuki, Ash Crimson, Saiki, Orochi
Maxima, K9999, Nameless, Shun'ei
Isla, Heidern, Benimaru, Shun'ei
Kyoko, Blue Mary, Yuri Sakazaki, Heidern
Geese Howard, Andy Bogard, Rock Howard, Wolfgang Krauser
Saxophone, Bass Guitar, Keyboard, Lead Guitar
Kusanagi, Iori Yagami, Chizuru Kagura, K'
C.Y.S., Orochi, Rival, Garou
